Date_category,BG_main1,CZ_main1,CZ_new1,FI_main1,DE_main1,DE_alt1,DE_alt2,DE_leak1,DE_canc2,DE_canc3,DE_parl1,DE_new1,EL_main1,EL_new1,IT_main1,NL_main1,NL_follow1,PL_main1,PT_main1,PT_new1,RO_main1,RO_leak1,RO_follow1,SK_main1,SI_main1,SI_alt2,UK_main1,UK_leak1
Use for Stata,20211011,20201204,20220107,20170831,20190126,20200116,20200129,20180914,20191209,20191112,20200703,20211015,20190923,20210426,20171024,20171010,20180518,20200925,20171116,20191026,20210603,20210526,20210930,20190618,20210315,20220113,20151118,20151006
Use in analysis,,1,1,1,1,,,,,,,1,1,1,1,1,,,1,1,1,,,1,1,,1,
emissions at announcement,,29.6,,6.1,163.9,,,214.2,,,131.6,,19.9,,28.7,22.3,21.9,103.5,12.1,,9.1,9.1,9.1,2.3,3.9,,65.4,65.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main,,1,1,1,1,,,,,,,1,1,1,1,1,,,1,1,1,,,1,1,,1,
Core,,1,,,1,,,,,,,,,1,,,,,,,,,,1,1,,,
Further events,,,,,,,,1,1,1,1,,,,,,1,1,,,,1,1,,,,,1
Weighted,,1,,1,1,,,,,,,,1,,1,1,,,1,,1,,,1,1,,1,
Weighted further,,,,,,,,1,,,1,,,,,,1,,,,,1,1,,,,,1
Weighted core,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't combine due to overlapping event windows:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG_main1 and DE_new1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ_new1 and SI_alt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
